thai sentence,english sentence
การเปิดใจรับสิ่งใหม่ใหม่ จะทำให้ชีวิตของเรามีความหลากหลาย,Opening our minds to new things will make our lives more diverse.
แม้ว่าฉันจะเหนื่อย แต่การเห็นผลลัพธ์ทำให้ฉันรู้สึกคุ้มค่า,"Even though I am tired, seeing the results makes me feel it is worthwhile."
ถ้าเราใส่ใจสุขภาพ เราก็จะมีชีวิตที่ยืนยาวและมีความสุข,"If we take care of our health, we will have a long and happy life."
ฉันชอบสร้างสรรค์งานศิลปะ เพื่อแสดงความคิดและอารมณ์ของฉัน,I like creating art to express my thoughts and emotions.
การให้คำปรึกษาและช่วยเหลือผู้อื่น เป็นการทำในสิ่งที่ฉันรัก,Giving advice and helping others is something I love to do.
แม้ว่าเราจะอยู่ห่างไกลกัน แต่ความรู้สึกของเรายังคงเชื่อมโยงกัน,"Even though we are far apart, our feelings are still connected."
แม้ว่าสถานการณ์จะยาก แต่เราควรมีความกล้าและเผชิญหน้ามัน,"Even though the situation is tough, we should have courage and face it."
ถ้าเราให้ความสำคัญกับครอบครัว ชีวิตก็จะมีความสุขมากขึ้น,"If we prioritize our family, life will be happier."
การทบทวนสิ่งที่เราเรียนรู้จะช่วยให้เราจำและเข้าใจได้ดียิ่งขึ้น,Reviewing what we have learned helps us remember and understand better.
แม้ว่าสิ่งต่างต่าง จะไม่เป็นไปตามแผน แต่เราก็สามารถปรับตัวได้,"Even though things do not go as planned, we can adapt."
ถ้าเรามีความสุขกับปัจจุบัน อนาคตก็จะสดใสขึ้น,"If we are happy with the present, the future will be brighter."
ฉันชอบออกไปถ่ายรูปธรรมชาติ มันทำให้ฉันเชื่อมโยงกับโลกมากขึ้น,I like going out to photograph nature; it makes me feel more connected to the world.
การแบ่งปันประสบการณ์กับผู้อื่น จะสร้างความสัมพันธ์ที่ดี,Sharing experiences with others builds good relationships.
แม้ว่าฉันจะไม่สมบูรณ์แบบ แต่ฉันก็ยอมรับและรักตัวเอง,"Even though I am not perfect, I accept and love myself."
ถ้าเรามีความตั้งใจจริง เราก็สามารถทำสิ่งที่คิดว่าเป็นไปไม่ได้ให้เป็นไปได้,"If we have true intentions, we can make the impossible possible."
แม้ว่าฝนจะตก ฉันก็ยังออกไปเดินเล่น เพราะฉันชอบกลิ่นฝน,"Even though it is raining, I still go for a walk because I like the smell of rain."
การฟังเพลงทำให้ฉันรู้สึกมีความสุขและสร้างแรงบันดาลใจ,Listening to music makes me feel happy and inspired.
แม้ว่าฉันจะไม่รู้คำตอบ แต่ฉันก็พร้อมที่จะค้นหาและเรียนรู้,"Even though I do not know the answer, I am ready to search and learn."
ถ้าเรามีความอดทน เราก็จะผ่านช่วงเวลาที่ยากลำบากไปได้,"If we have patience, we will get through tough times."
การใช้เวลาอยู่กับธรรมชาติทำให้ฉันรู้สึกสงบและมีสมาธิ,Spending time in nature makes me feel peaceful and focused.
แม้ว่าฉันจะมีงานยุ่ง แต่ฉันก็จะหาเวลาให้ครอบครัวเสมอ,"Even though I am busy, I will always find time for my family."
ถ้าเรามีความกล้าที่จะเริ่มต้น ความสำเร็จก็จะไม่ไกลเกินเอื้อม,"If we dare to start, success will not be far away."
ฉันอยากจะขอบคุณทุกคนที่สนับสนุนและอยู่เคียงข้างฉันเสมอ,I want to thank everyone who has supported and stood by me always.
การปรับปรุงตนเองเป็นกระบวนการที่ไม่สิ้นสุด เราควรพยายามต่อไป,Self-improvement is an endless process; we should keep trying.
แม้ว่าจะมีความผิดพลาด แต่ฉันก็จะไม่ยอมให้มันหยุดฉัน,"Even though there are mistakes, I will not let them stop me."
ถ้าเรามีความหวังและศรัทธา ทุกอย่างก็จะเป็นไปได้,"If we have hope and faith, everything is possible."
การเรียนรู้ไม่จำเป็นต้องอยู่ในห้องเรียน เราสามารถเรียนรู้จากประสบการณ์,Learning does not have to be in a classroom; we can learn from experiences.
แม้ว่าเส้นทางจะไม่ง่าย แต่ฉันก็พร้อมที่จะเผชิญความท้าทาย,"Even though the path is not easy, I am ready to face the challenges."
ถ้าเรารู้จักปล่อยวาง จิตใจของเราก็จะสงบและมีความสุขมากขึ้น,"If we learn to let go, our minds will be calmer and happier."
ฉันอยากจะสร้างสรรค์สิ่งที่มีความหมายให้กับโลกและผู้อื่น,I want to create something meaningful for the world and others.
แม้ว่าจะมีอุปสรรค แต่ฉันเชื่อว่าเราจะร่วมมือกันผ่านมันไปได้,"Even though there are obstacles, I believe we can work together to overcome them."
ถ้าเรามีความสุขภายใน ใบหน้าและดวงตาของเราก็จะส่องประกาย,"If we are happy inside, our faces and eyes will shine."
การดูแลโลกเป็นหน้าที่ของเราทุกคน เพื่ออนาคตของลูกหลาน,Taking care of the Earth is everyone's duty for the future of our children.
แม้ว่าจะมีความยากลำบาก แต่ฉันก็จะไม่ยอมแพ้ต่อสิ่งที่ฉันเชื่อ,"Even though it is difficult, I will not give up on what I believe."
ฉันอยากจะสร้างความทรงจำที่ดีและมีความหมายในชีวิตของฉัน,I want to create good and meaningful memories in my life.
การยิ้มและหัวเราะเป็นยาที่ดีที่สุดสำหรับจิตใจและร่างกาย,Smiling and laughing are the best medicines for the mind and body.
ฉันตื่นนอนตอนหกโมงเช้าแล้วไปออกกำลังกายที่สวนสาธารณะ,I wake up at six in the morning and then go to exercise at the park.
วันนี้อากาศร้อนมากแต่ฉันยังต้องออกไปทำงาน,"Today the weather is very hot, but I still have to go to work."
คุณเคยลองกินผัดไทยที่ร้านนี้หรือยัง? มันอร่อยมากเลยนะ,Have you tried Pad Thai at this restaurant yet? It is really delicious.
ฉันชอบอ่านหนังสือและฟังเพลงในเวลาว่างของฉัน,I like to read books and listen to music in my free time.
ฉันกำลังเรียนภาษาอังกฤษเพราะอยากจะเดินทางไปต่างประเทศ,I am studying English because I want to travel abroad.
เมื่อวานนี้ฉันทำอาหารไทยที่บ้านและเพื่อนเพื่อน ของฉันชอบมาก,"Yesterday I cooked Thai food at home, and my friends liked it a lot."
คุณสนใจไปชมคอนเสิร์ตกับฉันในวันเสาร์นี้ไหม?,Are you interested in going to a concert with me this Saturday?
ฉันต้องการซื้อรถใหม่แต่ยังตัดสินใจไม่ได้ว่าจะเลือกยี่ห้อไหนดี,I want to buy a new car but have not decided which brand to choose.
อาหารโปรดของฉันคือแกงเขียวหวานเพราะมันหอมและเผ็ดกำลังดี,My favorite food is green curry because it is fragrant and just the right amount of spicy.
ในอนาคตฉันอยากจะเปิดร้านกาแฟเล็กเล็ก ที่ชายทะเล,"In the future, I want to open a small coffee shop by the sea."
เมื่อคืนฉันนอนไม่หลับเพราะเสียงดังจากข้างนอก,Last night I could not sleep because of the noise outside.
เราควรออกเดินทางแต่เช้าเพื่อหลีกเลี่ยงการจราจรติดขัด,We should leave early in the morning to avoid traffic jams.
ฉันซื้อผลไม้และผักสดจากตลาดทุกสัปดาห์เพื่อสุขภาพที่ดี,I buy fresh fruits and vegetables from the market every week for good health.
เมื่อถึงฤดูหนาว ฉันชอบไปเที่ยวภาคเหนือเพราะอากาศเย็นสบาย,"When winter comes, I like to travel to the north because the weather is cool."
รถไฟฟ้าใต้ดินเป็นวิธีการเดินทางที่สะดวกและรวดเร็วในกรุงเทพฯ,The subway is a convenient and fast way to travel in Bangkok.
วันเกิดของฉันปีนี้ ฉันอยากจัดปาร์ตี้เล็กเล็ก กับเพื่อนสนิท,"For my birthday this year, I want to have a small party with close friends."
คุณชอบฟังเพลงแนวไหน? ฉันชอบเพลงป็อปและแจ๊ส,What kind of music do you like to listen to? I like pop and jazz.
ถ้าเราจองตั๋วเครื่องบินล่วงหน้า เราอาจจะได้ราคาที่ถูกกว่า,"If we book the airplane tickets in advance, we might get a cheaper price."
ฉันต้องไปซื้อของที่ซุปเปอร์มาร์เก็ตเพราะตู้เย็นว่างเปล่าแล้ว,I have to go shopping at the supermarket because the fridge is empty.
การนั่งสมาธิช่วยให้ฉันรู้สึกผ่อนคลายและมีสมาธิมากขึ้น,Meditation helps me feel relaxed and more focused.
คุณเคยไปภูเก็ตหรือเปล่า? ฉันได้ยินว่าที่นั่นสวยงามมาก,Have you ever been to Phuket? I have heard it is very beautiful there.
ฉันชอบทำขนมเค้กและคุกกี้ในวันหยุดสุดสัปดาห์,I like to bake cakes and cookies on weekends.
ถ้าเราประหยัดเงิน เราจะมีเงินพอสำหรับทริปท่องเที่ยว,"If we save money, we will have enough for a travel trip."
ฉันชอบไปว่ายน้ำที่สระน้ำเพราะทำให้ร่างกายแข็งแรง,I like to go swimming at the pool because it keeps me fit.
คุณต้องการความช่วยเหลือในการทำโปรเจคนี้หรือไม่?,Do you need help with this project?
การเรียนรู้สิ่งใหม่ใหม่ ทำให้ชีวิตของฉันสนุกและมีความหมาย,Learning new things makes my life fun and meaningful.
ฉันกำลังคิดจะซื้อจักรยานเพื่อขี่ออกกำลังกายในตอนเช้า,I am thinking of buying a bicycle to ride for exercise in the mornings.
คุณเห็นข่าวเมื่อเช้านี้หรือยัง? มีเหตุการณ์สำคัญเกิดขึ้น,Did you see the news this morning? There was an important event.
คุณสามารถแนะนำสถานที่ท่องเที่ยวที่น่าสนใจในเมืองนี้ได้ไหม?,Can you recommend interesting tourist spots in this city?
เมื่อวานฉันไปวิ่งที่สวนสาธารณะและรู้สึกสดชื่นมาก,Yesterday I went jogging in the park and felt very refreshed.
ถ้าเราฝึกพูดภาษาใหม่ทุกวัน เราจะพูดได้คล่องขึ้น,"If we practice speaking a new language every day, we will become more fluent."
ฉันเชื่อว่าการคิดบวกช่วยให้เรามีความสุขและประสบความสำเร็จ,I believe positive thinking helps us be happy and successful.
คุณมีข้อเสนอแนะในการปรับปรุงงานนี้หรือไม่?,Do you have any suggestions to improve this work?
ฉันกำลังเก็บเงินเพื่อซื้อบ้านในฝันของฉัน,I am saving money to buy my dream house.
คุณต้องการเข้าร่วมการประชุมในวันพรุ่งนี้หรือเปล่า?,Do you want to attend the meeting tomorrow?
ถ้าเหนื่อยก็พักผ่อนก่อนแล้วค่อยเริ่มทำงานต่อ,"If you are tired, rest first and then continue working."
ฉันตั้งใจจะวิ่งมาราธอนครั้งแรกในปีหน้า,I intend to run my first marathon next year.
คุณอยากสั่งอะไรเพิ่มไหม? อาหารที่นี่อร่อยมาก,Would you like to order anything else? The food here is very good.
ฉันชอบถ่ายภาพธรรมชาติ เช่น ภูเขาและน้ำตก,"I like photographing nature, such as mountains and waterfalls."
ถ้าเราไม่ลอง เราก็จะไม่รู้ว่าผลลัพธ์จะเป็นอย่างไร,"If we do not try, we will never know the outcome."
ฉันชอบฤดูฝนเพราะอากาศเย็นและต้นไม้เขียวขจี,I like the rainy season because it is cool and the trees are lush.
คุณเคยลองเล่นดนตรีไทยไหม? ฉันคิดว่ามันน่าสนใจมาก,Have you ever tried playing Thai music? I think it is very interesting.
เราควรประสานงานกับทีมอื่นอื่น เพื่อให้โครงการสำเร็จ,We should coordinate with other teams to make the project succeed.
ฉันรู้สึกภูมิใจที่ได้เป็นส่วนหนึ่งขององค์กรนี้,I feel proud to be part of this organization.
ฉันต้องการสั่งซื้อหนังสือเล่มนี้ออนไลน์เพราะหาซื้อในร้านไม่ได้,I want to order this book online because I can not find it in stores.
คุณมีแผนสำหรับงานเทศกาลที่จะมาถึงนี้หรือยัง?,Do you have plans for the upcoming festival?
การฝึกงานที่บริษัทนี้ให้ประสบการณ์ที่มีคุณค่าแก่ฉัน,Interning at this company has given me valuable experience.
ฉันชอบดื่มชาเขียวร้อนในตอนเช้าเพื่อเริ่มต้นวันใหม่,I like to drink hot green tea in the morning to start my day.
เรามาร่วมกันทำความสะอาดสำนักงานเพื่อสภาพแวดล้อมที่ดีขึ้น,Let's clean the office together for a better environment.
ถ้าเรามีความคิดสร้างสรรค์ เราจะสามารถแก้ไขปัญหาได้ง่ายขึ้น,"If we are creative, we can solve problems more easily."
ฉันกำลังหาที่เรียนเต้นรำเพื่อเรียนรู้ทักษะใหม่,I am looking for a dance class to learn a new skill.
คุณมีคำแนะนำสำหรับผู้ที่เริ่มต้นทำงานในสายงานนี้หรือไม่?,Do you have advice for someone starting in this field?
ฉันกำลังจัดกระเป๋าเดินทางสำหรับทริปเดือนหน้าของฉัน,I am packing my suitcase for my trip next month.
คุณอยากไปดูนิทรรศการศิลปะกับฉันไหม?,Would you like to go to the art exhibition with me?
ฉันภูมิใจในความสำเร็จที่ได้มาจากความพยายามของฉันเอง,I am proud of the achievements that came from my efforts.
การสื่อสารที่ดีเป็นสิ่งสำคัญในการทำงานเป็นทีม,Good communication is essential in teamwork.
ถ้ามีโอกาสฉันอยากจะลองกระโดดร่มสักครั้ง,"If I have the chance, I do like to try skydiving once."
คุณเคยไปบราซิลหรือยัง เพราะผมอยากรู้ว่าอากาศที่นั่นร้อนแค่ไหน,Have you been to Brazil yet? I want to know how hot the weather is there.
ถ้าคุณรีบไปตอนเช้า คุณอาจจะได้ที่จอดรถฟรีหน้าเซ็นทรัล,"If you hurry in the morning, you might get free parking in front of Central."
ชาวนาใช้แทรกเตอร์ไถนาตั้งแต่เช้ามืดจนถึงพลบค่ำ,Farmers use tractors to plow fields from dawn until dusk.
เธอมักเคลิ้มคิดถึงวันเก่าเก่า เวลาที่ฟังเพลงเศร้า,She often daydreams about old times when listening to sad songs.
แม่ทำปอเปี๊ยะไส้ผักไว้ให้เรากินตอนเย็น,Mom made vegetable spring rolls for us to eat tonight.
ใบไม้ผล็อยไปตามน้ำ ใต้แสงอาทิตย์ยามบ่าย,Leaves drift quickly along the water under the afternoon sun.
ร้านอาหารที่อร่อยอยู่ตรงโน้น ข้างข้าง โรงหนังเก่า,"The tasty restaurant is over there, next to the old cinema."
เพื่อนฉันจะไปเรียนต่อที่ประเทศฟร็องซ์ปีหน้า,My friend will study in France next year.
อย่าลืมดร็อปแผนที่ในแชทกลุ่มก่อนออกจากบ้านนะ,Do not forget to drop the map in the group chat before leaving.
เสื้อตัวใหม่ของคุณดูเริ่ดมาก เหมาะกับสไตล์ของคุณเลย,Your new shirt looks awesome and suits your style perfectly.
เราต้องเติมน้ำในแท็งก์น้ำก่อนที่จะหมด,We need to refill the water tank before it runs out.
แน่ะ! ฉันบอกแล้วว่าวันนี้ฝนจะตก เธอไม่เชื่อฉันเลย,"See! I told you it would rain today, but you did not believe me."
รูปปั้นบรอนซ์ในสวนถูกสร้างขึ้นเมื่อร้อยปีที่แล้ว,The bronze statue in the park was made a century ago.
เขาเปิดร้านกาแฟเป็นแฟรนไชส์ชื่อดังในย่านนี้,He opened a famous coffee franchise in this neighborhood.
เทรลเลอร์หนังเรื่องใหม่ดูน่าสนใจมาก,The trailer for the new movie looks really intriguing.
เวลาเหนื่อยมากมาก เขามักจะเพ้อเจ้อเรื่องไม่สำคัญ,"When exhausted, he rambles about trivial things."
เธอเลือกผ้าฝอยสีฟ้าซาตินเพื่อทำชุดเดรส,She picked blue satin fabric to make a dress.
โว้ย! เร็วเร็ว ขึ้นรถเดี๋ยวนี้เราจะไปไม่ทันแล้ว,Hey! Hurry up and get in the car or we will be late!
แฟลชไดร์ฟนี้เก็บข้อมูลสำคัญทั้งหมดไว้,This flash drive stores all the important data.
เขาชอบไดรฟ์รถเล่นตอนกลางคืนเพราะถนนว่าง,He enjoys night drives because the roads are empty.
รองเท้าคู่นี้เริ่ดมากแต่ราคาแพงเกินไป,These shoes are cool but way too expensive.
ยัวะ! น้องชายเอาเงินไปซื้อของเล่นหมดเลย,Darn it! My little brother spent all his money on toys.
วางของไว้ตรงเนี่ยะก่อนแล้วค่อยไปหยิบกระเป๋า,"Put the stuff here first, then grab the bag."
แน่ะ! ฉันเตือนแล้วว่าอย่าเอาโทรศัพท์ไปเล่นน้ำ,See! I warned you not to take the phone near water.
พวกเราจะไปเที่ยวทะเลพร้อมกันพรุ่งนี้เช้า,We are going to the beach together tomorrow morning.
คุณช่วยหยิบแอปเปิ้ลในตู้เย็นให้ฉันหน่อยได้ไหม,Can you grab an apple from the fridge for me?
ถ้าเธอไม่ว่างเสาร์นี้ เราก็เลื่อนไปอาทิตย์หน้า,"If you are busy this Saturday, let’s postpone to next week."
เขากำลังซ่อมรถอยู่หลังบ้านเพราะเครื่องเสีย,He is fixing the car in the backyard because the engine died.
เดี๋ยวฉันจะแวะซื้อผักที่ตลาดก่อนกลับบ้าน,I will stop by the market to buy veggies before heading home.
แมวตัวนั้นชอบนอนบนโซฟาในห้องนั่งเล่น,That cat loves sleeping on the living room sofa.
เราต้องการจองโต๊ะสำหรับหกคนคืนวันศุกร์,We need to reserve a table for six on Friday night.
เธอลืมปิดไฟในห้องน้ำอีกแล้วช่วยไปปิดที,You forgot to turn off the bathroom light again—please check.
โปรแกรมนี้ใช้เวลาดาวน์โหลดนานมากเพราะไฟล์ใหญ่,This program takes ages to download due to large files.
น้องสาวฉันเพิ่งเรียนจบและกำลังหางานทำ,My sister just graduated and is job hunting.
คุณช่วยสอนวิธีใช้แอปนี้ให้ฉันหน่อยได้ไหม,Could you show me how to use this app?
ขนมในเตาอบเกือบไหม้แล้วรีบไปดูเร็ว!,The cookies in the oven are almost burning—check them now!
เขาตัดสินใจซื้อบ้านหลังเล็กเล็กในชนบท,He decided to buy a small house in the countryside.
เราต้องการเปลี่ยนเฟอร์นิเจอร์ในห้องนอน,We want to replace the bedroom furniture.
เธอทำกระเป๋าเงินหายในรถแท็กซี่เมื่อวาน,She lost her wallet in the taxi yesterday.
โปรดตรวจสอบเอกสารอีกครั้งก่อนส่ง,Please review the documents again before submitting them.
ฉันเพิ่งดูหนังสยองขวัญเรื่องใหม่ตอนดึก,I just watched a new horror movie late at night.
คุณรู้ไหมว่าร้านนี้ปิดวันจันทร์ทุกสัปดาห์,Did you know this shop closes every Monday?
เราเจอปัญหากับระบบคอมพิวเตอร์เมื่อเช้า,We encountered computer system issues this morning.
คุณควรดื่มน้ำให้มากขึ้นเวลาอากาศร้อนแบบนี้,You should drink more water in this hot weather.
เขาชวนฉันไปดูคอนเสิร์ตสุดสัปดาห์นี้,He invited me to a concert this weekend.
ฉันไม่ชอบรสชาติชาเขียวแบบหวานเกินไป,I do not like overly sweet matcha tea.
โปรแกรมเมอร์กำลังแก้ไขบั๊กในระบบ,The programmer is fixing a bug in the system.
เราต้องซื้อของขวัญให้เพื่อนก่อนงานเลี้ยง,We need to buy a gift for our friend before the party.
คุณช่วยส่งเก้าอี้ตัวนั้นมาให้ฉันหน่อย,Could you pass me that chair over there?
ฉันลืมกุญแจบ้านไว้ในรถ เลยต้องเรียกช่างมาเปิด,I left my house keys in the car—need to call a locksmith.
เราจะจัดประชุมออนไลน์ตอนบ่ายสามโมง,We will hold an online meeting at 3 PM.
เธอชอบซื้อเสื้อผ้าลดราคาตอนเซลล์ใหญ่,She loves buying discounted clothes during big sales.
ถ้าคุณรู้สึกไม่สบาย ควรไปพบแพทย์ด่วนนะ,"If you are feeling unwell, see a doctor immediately."
ฉันเพิ่งติดตั้งแอร์ใหม่ในห้องนอน,I just installed a new AC in the bedroom.
เขาทำน้ำส้มคั้นสดสดทุกเช้าเพื่อสุขภาพ,He makes fresh orange juice every morning for health.
เราเจอทางลัดไปสนามบินเร็วขึ้นครึ่งชั่วโมง,We found a shortcut to the airport saving 30 minutes.
คุณช่วยปิดหน้าต่างได้ไหมลมแรงมากเลย,Can you close the window? The wind is too strong.
ฉันเพิ่งซื้อหนังสือเล่มใหม่ที่ร้านหน้าปากซอย,I just bought a new book from the shop down the alley.
เขากำลังฝึกพูดภาษาญี่ปุ่นเพื่อไปเที่ยว,He is practicing Japanese for his upcoming trip.
เราไม่ควรทิ้งขยะพลาสติกลงทะเล,We should not dump plastic waste into the ocean.
ฉันชอบเดินเล่นในสวนสาธารณะตอนพระอาทิตย์ตก,I enjoy walking in the park during sunset.
เขาต้องการซื้อโทรศัพท์รุ่นใหม่แต่ยังลังเล,He wants to buy a new phone model but is hesitating.
เราเจอสัตว์น่ารักน่ารัก ในสวนสัตว์เมื่อวาน,We saw cute animals at the zoo yesterday.
เธอเขียนบทความเกี่ยวกับสิ่งแวดล้อม,She is writing an article about the environment.
คุณช่วยบอกทางไปสถานีรถไฟใต้ดินได้ไหม,Can you direct me to the subway station?
ฉันเพิ่งลงทะเบียนเรียนคอร์สทำอาหาร,I just enrolled in a cooking class.
เธอเก็บเงินเพื่อซื้อจักรยานคันใหม่,She is saving money to buy a new bicycle.
คุณควรพักผ่อนให้มากมากเวลาป่วยแบบนี้,You should rest more when you are sick like this.
ฉันลืมรหัสผ่านต้องรีเซ็ตใหม่ผ่านอีเมล,I forgot my password and need to reset it via email.
เขาเพิ่งซื้อกล้องถ่ายรูปมือสองสภาพดี,He just bought a secondhand camera in good condition.
เราเจอปัญหาเน็ตเวิร์คในออฟฟิศเมื่อเช้า,We had network issues at the office this morning.
เธอชอบดูดาวผ่านกล้องโทรทรรศน์ตอนกลางคืน,She enjoys stargazing through a telescope at night.
คุณช่วยซื้อนมสองกล่องจากร้านสะดวกซื้อได้ไหม,Can you buy two cartons of milk from the convenience store?
ฉันเพิ่งอัปเกรดระบบปฏิบัติการคอมพิวเตอร์,I just upgraded my computer’s operating system.
เขากำลังวาดภาพวิวทะเลสวยสวยในสตูดิโอ,He is painting a beautiful seaside landscape in his studio.
เราต้องส่งรายงานให้ลูกค้าภายในวันพฤหัส,We need to deliver the report to the client by Thursday.
เธอทำสมุดบันทึกหายในห้องสมุดเมื่อวาน,She lost her notebook in the library yesterday.
คุณควรตรวจสอบเวลาเปิด-ปิดของพิพิธภัณฑ์,You should check the museum’s opening and closing times.
ฉันชอบทานสลัดผักกับน้ำสลัดรสเปรี้ยว,I enjoy eating vegetable salad with tangy dressing.
เขาต้องการแลกเงินดอลลาร์เป็นบาทไทย,He needs to exchange dollars for Thai baht.
เราเจอทางออกจากปัญหาเรื่องงบประมาณแล้ว,We found a solution to the budget problem.
เธอกำลังเรียนขับรถอยู่ใกล้ใกล้ซอยนี้,She is taking driving lessons near this alley.
คุณช่วยถ่ายรูปครอบครัวให้เราหน่อยได้ไหม,Could you take a family photo for us?
ฉันเพิ่งซื้อกระเป๋าเดินทางใบใหญ่สำหรับทริป,I just bought a large suitcase for the trip.
เขาชอบเล่นกีตาร์โปร่งเวลาว่างว่าง,He likes playing acoustic guitar in his free time.
เราต้องการจองตั๋วหนังสำหรับสามคนคืนนี้,We want to book movie tickets for three tonight.
เธอทำอาหารไทยแบบดั้งเดิมให้แขกชิม,She cooked traditional Thai dishes for the guests.
คุณควรใส่หมวกกันแดดเวลาไปทะเล,You should wear a sun hat when going to the beach.
ฉันลืมชาร์จโทรศัพท์ ต้องหาเพาเวอร์แบงค์,I forgot to charge my phone—need a power bank.
เขาเพิ่งซื้อโซฟาใหม่สีเทามาไว้ในห้องรับแขก,He just bought a new gray sofa for the living room.
เราเจอแมวหลงทางในสวนสาธารณะเมื่อเช้า,We found a stray cat in the park this morning.
คุณช่วยซื้อแสตมป์จากไปรษณีย์ให้ฉันหน่อย,Can you buy stamps from the post office for me?
ฉันเพิ่งลงทุนในกองทุนรวมเพื่อการออม,I recently invested in a mutual fund for savings.
เขากำลังซ่อมรั้วบ้านที่พังจากลมแรง,He is fixing the house fence damaged by strong winds.
เราต้องการเปลี่ยนแผนการเดินทางเพราะฝน,We need to change our travel plans due to the rain.
เธอทำขนมปังกรอบอร่อยมากสำหรับปิกนิก,She made delicious crispy bread for the picnic.
คุณควรตรวจสอบแบตเตอรี่ในรีโมทคอนโทรล,You should check the batteries in the remote control.
ฉันชอบปลูกต้นไม้ในกระถางเล็กเล็กบนระเบียง,I enjoy growing plants in small pots on the balcony.
เขาต้องการติดตั้งแผงโซลาร์เซลล์บนหลังคา,He wants to install solar panels on the roof.
เราเจอปัญหารถติดหนักมากบนทางด่วน,We encountered a traffic jam on the highway.
เธอชอบถ่ายรูปดอกไม้ในสวนทุกฤดูใบไม้ผลิ,She loves photographing flowers in the garden every spring.
คุณช่วยหยิบหนังสือบนชั้นบนให้ฉันหน่อย,Could you grab the book from the top shelf for me?
ฉันเพิ่งจองตั๋วเครื่องบินไปเกาหลีใต้,I just booked a flight ticket to South Korea.
เขากำลังฝึกโยคะเพื่อสุขภาพร่างกายและจิตใจ,He is practicing yoga for physical and mental health.
เราต้องการซื้อผักออร์แกนิคจากฟาร์มใกล้ใกล้,We want to buy organic veggies from a nearby farm.
เธอทำความสะอาดบ้านทั้งหลังก่อนปีใหม่,She cleaned the entire house before New Year’s.
คุณควรทดสอบสีผนังก่อนทาทั้งห้อง,You should test the wall color before painting the whole room.
เขาเพิ่งอัพโหลดวิดีโอใหม่ลงช่องยูทูป,He just uploaded a new video to his YouTube channel.
เราเจอทางลัดไปยังสถานที่ท่องเที่ยว,We found a shortcut to the tourist attraction.
เธอชอบดูสารคดีเกี่ยวกับสัตว์ป่า,She enjoys watching wildlife documentaries.
คุณช่วยแนะนำร้านอาหารญี่ปุ่นดีดีได้ไหม,Can you recommend a good Japanese restaurant?
ฉันเพิ่งสมัครสมาชิกห้องสมุดชุมชน,I recently signed up for a community library membership.
เขากำลังปรับปรุงระบบรักษาความปลอดภัย,He is upgrading the security system.
เราต้องการซื้อของขวัญให้พ่อแม่ในวันครบรอบ,We need to buy anniversary gifts for our parents.
คุณควรพักสายตาจอคอมพิวเตอร์ทุกชั่วโมง,You should rest your eyes on the computer screen hourly.
ฉันชอบฟังพอดแคสต์เกี่ยวกับการลงทุน,I enjoy listening to investment podcasts.
เขาต้องการเช่าบ้านใกล้ทะเลสำหรับพักร้อน,He wants to rent a beach house for vacation.
เราเจอปัญหาน้ำรั่วในห้องน้ำและต้องเรียกช่าง,We found a water leak in the bathroom and called a plumber.
เมื่อวานนี้ตอนเย็น ฉันกับเพื่อนเพื่อน ไปเดินเล่นที่สวนสาธารณะ แล้วนั่งพักผ่อนใต้ต้นไม้ใหญ่ก่อนกลับบ้าน,"Yesterday evening, my friends and I went for a walk in the park and then rested under a big tree before going home."
ถ้าฝนไม่ตกพรุ่งนี้ ฉันคิดว่าจะไปเที่ยวทะเลกับครอบครัว เพื่อพักผ่อนและเล่นน้ำด้วยกัน,"If it does not rain tomorrow, I plan to go to the beach with my family to relax and swim together."
เมื่อฉันได้ยินข่าวดีจากเพื่อน ฉันรู้สึกมีความสุขมากและอยากแบ่งปันความยินดีกับเขา,"When I heard the good news from my friend, I felt very happy and wanted to share the joy with him."
ระหว่างที่ฉันกำลังทำอาหารอยู่ในครัว โทรศัพท์ก็ดังขึ้น ฉันจึงต้องหยุดเพื่อรับสาย,"While I was cooking in the kitchen, the phone rang, so I had to stop to answer it."
แม้ว่าวันนี้อากาศจะร้อนมาก แต่ฉันก็ยังออกไปวิ่งออกกำลังกายตามปกติเพื่อสุขภาพที่ดี,"Even though it is very hot today, I still went out for my regular run to maintain good health."
การเรียนภาษาใหม่ไม่ใช่เรื่องง่าย แต่ถ้าเราฝึกฝนอย่างสม่ำเสมอ เราก็จะเก่งขึ้นได้,"Learning a new language is not easy, but if we practice regularly, we can improve."
เมื่อถึงวันหยุดสุดสัปดาห์ ฉันมักจะนัดพบกับเพื่อนเพื่อน เพื่อไปดูภาพยนตร์เรื่องใหม่ที่โรงภาพยนตร์,"When the weekend comes, I usually meet up with friends to watch a new movie at the cinema."
ก่อนที่ฉันจะออกจากบ้าน ฉันต้องตรวจสอบว่าได้ปิดไฟและล็อกประตูเรียบร้อยแล้วหรือยัง,"Before leaving the house, I have to check if I have turned off the lights and locked the doors properly."
ถ้าเราใส่ใจสิ่งแวดล้อมและช่วยกันลดการใช้พลาสติก โลกของเราก็จะน่าอยู่ขึ้น,"If we care for the environment and help reduce plastic usage, our world will become a better place."
