thai sentence,thai phoneme
โดยคุณหมอเล่าว่าด้วยความที่ตัวเองมีบุคลิกเปรี้ยวและดูคล่องตัว,d oː j _ kʰ u n m ᴐː5 _ l a3 w _ w aː3 d uːa3 j _ kʰw aː m _ tʰ iː3 _ t uːa ʔ eː ŋ _ m iː _ b u2 k kʰ a4 l i4 k _ pr iːa3 w _ l ɛ4 _ d uː _ kʰl ᴐː3 ŋ t uːa
ให้สัมภาษณ์ต่อหนังสือพิมพ์ซันเดย์เทเลกราฟของอังกฤษว่า,h a3 j _ s a5 m pʰ aː3 t _ t ᴐː2 _ n a5 ŋ s ɯː5 pʰ i m _ s a n _ d eː _ tʰ eː l eː kr aː4 p _ kʰ ᴐː5 ŋ _ ʔ a ŋ kr i2 t _ w aː3
ได้รับแจ้งว่าพบศพชายถูกฆ่าตายอยู่ด้านหลังสนามไดรฟ์กอล์ฟฮอตช็อต,d aː3 j r a4 p _ c ɛː3 ŋ _ w aː3 _ pʰ o4 p _ s o2 p _ cʰ aː j _ tʰ uː2 k _ kʰ aː3 _ t aː j _ j uː2 _ d aː3 n l a5 ŋ _ s a2 n aː5 m _ dr a j _ k ᴐː4 p _ h ᴐː3 t _ cʰ ᴐ4 t
เจ๊เกียวยัวะวิวาทะรถตู้อย่าใช้กฎหมู่,c eː4 _ k iːa _ w a4 j ua3 _ w i4 w aː tʰ a4 _ r o4 t t uː3 _ j aː2 _ cʰ a4 j _ k o2 t m uː2
ยังเกิดเหตุคนร้ายลอบวางระเบิดรถบัสที่เมืองเควตต้าทางภาคตะวันตกเฉียงใต้ใกล้พรมแดนอัฟกานิสถาน,j a ŋ _ k ɤː2 t h eː2 t _ kʰ o n r aː4 j _ l ᴐː3 p w aː ŋ r a4 b ɤː2 t _ r o4 t b a4 s _ tʰ iː3 _ m ɯːa ŋ _ kʰw eː3 t _ t aː3 _ tʰ aː ŋ _ pʰ aː3 k _ t a2 w a n t o2 k cʰ iːa5 ŋ t aː3 j _ kl a3 j _ pʰr o m d ɛː n _ ʔ a4 f k aː n i4 s a2 tʰ aː5 n
และเป็นไปได้ที่จะจัดซื้อกว่ายี่สิบลำขึ้นไป,l ɛ4 _ p e n p a j d aː3 j _ tʰ iː3 _ c a2 _ c a2 t s ɯː4 _ kw aː2 _ j iː3 _ s i2 p _ l a m _ kʰ ɯ3 n _ p a j
หัวเราะเยาะชวนพูดมากเกินไป,h uːa5 r ᴐ4 j ᴐ4 _ cʰ uːa n _ pʰ uː3 t _ m aː3 k _ k ɤː n p a j
ทุบเหี้ยมสองศพใส่บอดี้โกลฟ,tʰ u4 p _ h iːa3 m _ s ᴐː5 ŋ _ s o2 p _ s a2 j _ b ᴐː d iː3 _ kl oː2 p
แขวะป๋าเหนาะไม่เอาจริง,kʰw ɛ2 _ p aː5 _ n ᴐ2 _ m a3 j _ ʔ a w c i ŋ
เนื่องจากผลไม้ทุกชนิดไม่มีพ่อค้าเข้าไปรับซื้อทางอำเภอเตรียมเสนอจังหวัด,n ɯːa3 ŋ c aː2 k _ pʰ o5 n l a4 m aː4 j _ tʰ u4 k _ cʰ a4 n i4 t _ m a3 j _ m iː _ pʰ ᴐː3 kʰ aː4 _ kʰ a3 w _ p a j _ r a4 p s ɯː4 _ tʰ aː ŋ _ ʔ a m pʰ ɤː _ tr iːa m _ s a2 n ɤː5 _ c a ŋ w a2 t
ตะปูสี่ตัวในท้องอึออกเองเหล็กงอยังอยู่,t a2 p uː _ s iː2 _ t uːa _ n a j _ tʰ ᴐː4 ŋ _ ʔ ɯ2 _ ʔ ᴐː2 k _ ʔ eː ŋ _ l e2 k _ ŋ ᴐː _ j a ŋ _ j uː2
ซึ่งเมื่อผู้สื่อข่าวถามถึงอุปนิสัยของนางเอกคู่ขวัญคนใหม่บรู๊คดนุพรตอบว่า,s ɯ3 ŋ _ m ɯːa3 _ pʰ uː3 s ɯː2 kʰ aː2 w _ tʰ aː5 m _ tʰ ɯ5 ŋ _ ʔ u2 p a2 n i4 s a5 j _ kʰ ᴐː5 ŋ _ n aː ŋ ʔ eː2 k _ kʰ uː3 _ kʰw a5 n _ kʰ o n _ m a2 j _ b a2 r uː4 k _ d a2 n u4 _ pʰ ᴐː n _ t ᴐː2 p _ w aː3
เพราะสื่อยังไม่ทราบต้นตอของปัญหาจริงจริง,pʰr ᴐ4 _ s ɯː2 _ j a ŋ _ m a3 j _ s aː3 p _ t o3 n t ᴐː _ kʰ ᴐː5 ŋ _ p a n h aː5 _ c i ŋ _ c i ŋ
การ์ดเบคแคมโดดเตะแฟนบอล,k aː4 t _ b eː2 k _ kʰ ɛː m _ d oː2 t _ t e2 _ f ɛː n _ b ᴐː n
ฟ้องลิ่วล้อแก๊งตุ๋นหุ้นสองตัวใหญ่ยังสอบต่อ,f ᴐː4 ŋ _ l i3 w l ᴐː4 _ k ɛː4 ŋ _ t u5 n _ h u3 n _ s ᴐː5 ŋ _ t uːa _ j a2 j _ j a ŋ _ s ᴐː2 p _ t ᴐː2
ดังนั้นจึงอยากให้ใช้จังหวะนี้กระตุ้นให้เด็กเด็กได้เรียนรู้ปรากฏการณ์สำคัญนี้,d a ŋ n a4 n _ c ɯ ŋ _ j aː2 k _ h a3 j _ cʰ a4 j _ c a ŋ w a2 _ n iː4 _ kr a2 t u3 n _ h a3 j _ d e2 k _ d e2 k _ d aː3 j _ r iːa n r uː4 _ pr aː k o2 t k aː n _ s a5 m kʰ a n _ n iː4
ซึ่งเจ้าของอัลบั้มเพลงฮิตให้การว่านอนหลับตลอดทางสะดุ้งตื่นขึ้นมาอีกทีเมื่อมีเสียงดังโครมสนั่น,s ɯ3 ŋ _ c aː3 w kʰ ᴐː5 ŋ _ ʔ a n l a4 b a3 m _ pʰl eː ŋ _ h i4 t _ h a3 j k aː n _ w aː3 _ n ᴐː n l a2 p _ t a2 l ᴐː2 t _ tʰ aː ŋ _ s a2 d u3 ŋ _ t ɯː2 n kʰ ɯ3 n _ m aː _ ʔ iː2 k _ tʰ iː _ m ɯːa3 _ m iː s iːa5 ŋ _ d a ŋ _ kʰr oː m _ s a2 n a2 n
ปลาช่อนทะเลปลาสวายปลาฉลามส่วนที่สร้างความฮือฮาที่สุดคือปลาร้าฉลาม,pl aː cʰ ᴐː3 n tʰ a4 l eː _ pl aː s a2 w aː5 j _ pl aː cʰ a2 l aː5 m _ s uːa2 n _ tʰ iː3 _ s aː3 ŋ _ kʰw aː m _ h ɯː h aː _ tʰ iː3 s u2 t _ kʰ ɯː _ pl aː r aː4 _ cʰ a2 l aː5 m
ให้รับไปจำหน่ายใช้ชื่อสินค้าว่าชายสี่บะหมี่เกี๊ยวมีรถเข็นจอดขายตามย่านชุมชนทั่วไป,h a3 j _ r a4 p _ p a j _ c a m n aː2 j _ cʰ a4 j _ cʰ ɯː3 _ s i5 n kʰ aː4 _ w aː3 _ cʰ aː j _ s iː2 _ b a2 m iː2 _ k iːa4 w _ m iː _ r o4 t kʰ e5 n _ c ᴐː2 t _ kʰ aː5 j _ t aː m _ j aː3 n _ cʰ u m cʰ o n _ tʰ uːa3 p a j
ผู้สื่อข่าวได้พบกับชาวบ้านที่เดือดร้อนคนหนึ่งคือนายสราวุธแซ่อุ๋ยเจ้าของอู่ซ่อมรถในตำบลบางนอน,pʰ uː3 s ɯː2 kʰ aː2 w _ d aː3 j _ pʰ o4 p _ k a2 p _ cʰ aː w b aː3 n _ tʰ iː3 _ d ɯːa2 t r ᴐː4 n _ kʰ o n _ n ɯ2 ŋ _ kʰ ɯː _ n aː j _ s a2 r aː _ w u4 t _ s ɛː3 _ ʔ u5 j _ c aː3 w kʰ ᴐː5 ŋ _ ʔ uː2 s ᴐː3 m r o4 t _ n a j _ t a m b o n _ b aː ŋ _ n ᴐː n
และคณะกรรมการศึกษาจะมีพลเรือเอกนพพรจันทวานิชเป็นประธาน,l ɛ4 _ kʰ a4 n a4 k a m m a4 k aː n _ s ɯ2 k s aː5 _ c a2 _ m iː _ pʰ o n r ɯːa ʔ eː2 k _ n o4 p _ pʰ ᴐː n _ c a n tʰ a4 _ w aː _ n i4 t _ p e n _ pr a2 tʰ aː n
สะเก็ดระเบิดยังเจาะทะลุโต๊ะไม้ที่ใช้วางของในร้านทะลุเป็นรูโหว่สองรู,s a2 k e2 t r a4 b ɤː2 t _ j a ŋ _ c ᴐ2 _ tʰ a4 l u4 _ t o4 _ m aː4 j _ tʰ iː3 _ cʰ a4 j _ w aː ŋ _ kʰ ᴐː5 ŋ _ n a j _ r aː4 n _ tʰ a4 l u4 _ p e n _ r uː _ w oː2 _ s ᴐː5 ŋ _ r uː
จุดที่ห้าบ้านห้วยปลากองหมู่เจ็ดตำบลขะเนจื้ออำเภอแม่ระมาด,c u2 t _ tʰ iː3 _ h aː3 _ b aː3 n _ h uːa3 j _ pl aː _ k ᴐː ŋ _ m uː2 _ c e2 t _ t a m b o n _ kʰ a2 _ ʔ a m pʰ ɤː _ m ɛː3 _ r a4 m aː3 t
พอถึงกลางสะพานถึงรู้ว่าสะพานขาดแต่เบรกไม่ทัน,pʰ ᴐː _ tʰ ɯ5 ŋ _ kl aː ŋ _ s a2 pʰ aː n _ tʰ ɯ5 ŋ _ r uː4 _ w aː3 _ s a2 pʰ aː n _ kʰ aː2 t _ t ɛː2 _ br eː2 k _ m a3 j _ tʰ a n
มีรถวิ่งสวนทางลงมานายธวัชต้องหักหลบอย่างรวดเร็วทำให้รถเสียหลักลื่นไถลตกลงไปในเหวพลิกคว่ำหลายตลบ,m iː _ r o4 t _ w i3 ŋ _ s uːa5 n tʰ aː ŋ _ l o ŋ _ m aː _ n aː j _ tʰ a4 w a4 t _ t ᴐː3 ŋ _ h a2 k _ l o2 p _ j aː2 ŋ _ r uːa3 t r e w _ tʰ a m h a3 j _ r o4 t _ s iːa5 l a2 k _ l ɯː3 n tʰ a2 l a5 j _ t o2 k l o ŋ _ p a j _ n a j _ h eː5 w _ pʰl i4 k kʰw a3 m _ l aː5 j _ t a2 l o2 p
ว่ามีนักท่องเที่ยวติดค้างอยู่กลางอากาศขณะกระโดดจากทาวเวอร์จัมพ์ภายในโรงแรม,w aː3 _ m iː _ n a4 k tʰ ᴐː3 ŋ tʰ iːa3 w _ t i2 t kʰ aː4 ŋ _ j uː2 _ kl aː ŋ _ ʔ aː k aː2 t _ kʰ a2 n a2 _ kr a2 d oː2 t _ c aː2 k _ tʰ aː w _ w ɤː _ c a m _ pʰ aː j n a j _ r oː ŋ r ɛː m
เสียงดังสนั่นหวั่นไหวกระสุนพุ่งเจาะร่างถึงหงายหลังล้มฟุบคาสำรับกับข้าว,s iːa5 ŋ _ d a ŋ _ s a2 n a2 n w a2 n w a5 j _ kr a2 s u5 n _ pʰ u3 ŋ _ c ᴐ2 _ r aː3 ŋ _ tʰ ɯ5 ŋ _ ŋ aː5 j l a5 ŋ _ l o4 m _ f u4 p _ kʰ aː _ s a5 m r a4 p _ k a2 p kʰ aː3 w
ในขณะเดียวกันได้ขอรายชื่อแบล็กลิสต์ของกองเชียร์ชุดนี้,n a j kʰ a2 n a2 d iːa w k a n _ d aː3 j _ kʰ ᴐː5 _ r aː j cʰ ɯː3 _ bl ɛ2 k l i4 t _ kʰ ᴐː5 ŋ _ k ᴐː ŋ cʰ iːa _ cʰ u4 t _ n iː4
ซึ่งที่จริงถ้านายกล้านรงค์เฉยเฉยก็จะไม่ออกมาแฉหรอก,s ɯ3 ŋ _ tʰ iː3 c i ŋ _ tʰ aː3 _ n aː j o4 k _ l aː4 n _ r o ŋ _ cʰ ɤː5 j _ cʰ ɤː5 j _ k ᴐː3 _ c a2 _ m a3 j _ ʔ ᴐː2 k _ m aː _ cʰ ɛː5 _ r ᴐː2 k
โดยระบุชื่อเจ้าของเว็บคือดอกเตอร์ไมเคิลหว่องชางและมีการอธิบายขั้นตอนการดัดกระดูกลูกแมว,d oː j _ r a4 b u2 _ cʰ ɯː3 _ c aː3 w kʰ ᴐː5 ŋ _ w e4 p _ kʰ ɯː _ d ᴐː2 k t ɤː3 _ m a j kʰ ɤː n _ w ᴐː2 ŋ _ cʰ aː ŋ _ l ɛ4 _ m iː _ k aː n _ ʔ a2 tʰ i4 b aː j _ kʰ a3 n t ᴐː n _ k aː n _ d a2 t _ kr a2 d uː2 k _ l uː3 k m ɛː w
อิมเมจพลัสแอคทีฟพอยท์วอร์ชดอกซ์,ʔ i m m eː3 t _ pʰl a4 t _ ʔ ɛː2 k tʰ iː3 p _ pʰ ᴐː _ w ᴐː3 t _ d ᴐː2 k
ชมสุริยะเจ๋งเจรจาลดค่าก๊าซ,cʰ o m _ s u2 r i4 j a4 _ c eː5 ŋ _ c eː r a4 c aː _ l o4 t _ kʰ aː3 _ k aː4 t
วิธีป้องกันแบบง่ายง่ายคือเวลานอนให้นอนหงายแหงนหน้าขึ้นเพื่อช่วยให้รอยย่นน้อยลง,w i4 tʰ iː _ p ᴐː3 ŋ k a n _ b ɛː2 p _ ŋ aː3 j _ ŋ aː3 j _ kʰ ɯː _ w eː l aː _ n ᴐː n _ h a3 j _ n ᴐː n ŋ aː5 j _ ŋ ɛː5 n n aː3 _ kʰ ɯ3 n _ pʰ ɯːa3 _ cʰ uːa3 j _ h a3 j _ r ᴐː j j o3 n _ n ᴐː4 j _ l o ŋ
วางบึมซีโฟร์ถล่มป๋าเหวก,w aː ŋ _ b ɯ m _ s iː _ f oː _ tʰ a2 l o2 m _ p aː5 _ w eː2 k
ยังเป็นการหมิ่นศักดิ์ศรีและหยามเกียรติผู้หญิงไทยอีกด้วยมารดาตนจึงแอบแกะโปสเตอร์ดังกล่าวมาเก็บไว้ให้,j a ŋ _ p e n _ k aː n _ m i2 n _ s a2 k s iː5 _ l ɛ4 _ j aː5 m _ k iːa2 t _ pʰ uː3 j i5 ŋ _ tʰ a j _ ʔ iː2 k _ d uːa3 j _ m aː n d aː _ t o n _ c ɯ ŋ _ ʔ ɛː2 p _ k ɛ2 _ p oː2 t t ɤː3 _ d a ŋ kl aː2 w _ m aː _ k e2 p _ w a4 j _ h a3 j
สำหรับผู้ตัดสินสำรองได้แก่เฟลิเปรามอสริโซจากเม็กซิโก,s a5 m r a2 p _ pʰ uː3 t a2 t s i5 n _ s a5 m r ᴐː ŋ _ d aː3 j k ɛː2 _ f eː _ l i4 _ pr a w _ m ᴐː3 t _ r i4 _ s oː _ c aː2 k _ m e4 k s i4 k oː
ที่นางมาร์ทาอาสาสมัครเดอฟอกซ์สตรีหมายเลขหนึ่งของเม็กซิโก,tʰ iː3 _ n aː ŋ _ m aː _ tʰ aː _ ʔ aː s aː5 s a2 m a2 k _ d ɤː _ f ᴐː3 k _ s a2 tr iː _ m aː5 j l eː3 k _ n ɯ2 ŋ _ kʰ ᴐː5 ŋ _ m e4 k s i4 k oː
สตรีหมายเลขหนึ่งแห่งแคนาดาเซซิเลียมาดูโรลูกสาวประธานาธิบดีฮอนดูรัสลอเรน่าเดอโรดริเควซ,s a2 tr iː _ m aː5 j l eː3 k _ n ɯ2 ŋ _ h ɛː2 ŋ _ kʰ ɛː n aː d aː _ s eː _ s i4 _ l iːa _ m aː _ d uː _ r oː _ l uː3 k s aː5 w _ pr a2 tʰ aː n aː tʰ i4 b ᴐː d iː _ h ᴐː n d uː r a2 t _ l ᴐː _ r eː _ n aː3 _ d ɤː _ r oː3 t _ r i4 _ kʰw eː3 t
เพื่อโปะเงินเพิ่มเติมในโครงการนี้หนึ่งหมื่นล้านบาท,pʰ ɯːa3 _ p o2 _ ŋ ɤ n _ pʰ ɤː3 m t ɤː m _ n a j _ kʰr oː ŋ k aː n _ n iː4 _ n ɯ2 ŋ _ m ɯː2 n _ l aː4 n _ b aː2 t
ธุรกิจยี่ปั๊วซาปั๊วฟื้นไข้ก่อน,tʰ u4 r a4 k i2 t _ j iː3 p a4 w _ s aː p a4 w _ f ɯː4 n kʰ a3 j _ k ᴐː2 n
และหาทุนให้เด็กเด็กในมูลนิธิเกื้อดรุณได้มีใช้ตลอดไป,l ɛ4 _ h aː5 _ tʰ u n _ h a3 j _ d e2 k _ d e2 k _ n a j _ m uː n n i4 tʰ i4 _ k ɯːa3 _ d a2 r u n _ d aː3 j _ m iː _ cʰ a4 j _ t a2 l ᴐː2 t p a j
อาทิพิพิธภัณฑ์เอโดะโตเกียววัดเมจิซึ่งเป็นวัดเก่าแก่ในนิกายเซน,ʔ aː tʰ i4 _ pʰ i4 pʰ i4 t tʰ a4 pʰ a n _ ʔ eː _ d o2 _ t oː k iːa w _ w a4 t _ m eː c i2 _ s ɯ3 ŋ _ p e n _ w a4 t _ k a2 w k ɛː2 _ n a j _ n i4 k aː j _ s eː n
ท้ายสุดนายแพทย์วิสุทธิ์บรรยายว่าถึงแม้ป๊าจะไม่รักม้าแล้ว,tʰ aː4 j s u2 t _ n aː j pʰ ɛː3 t _ w i4 s u2 t _ b a n j aː j _ w aː3 _ tʰ ɯ5 ŋ m ɛː4 _ p aː4 _ c a2 _ m a3 j _ r a4 k _ m aː4 _ l ɛː4 w
ประกอบด้วยผ้าห่มลายสกอตยี่ห้อลิปตัสเพิ่งซื้อมาใหม่,pr a2 k ᴐː2 p _ d uːa3 j _ pʰ aː3 h o2 m _ l aː j _ s a2 k ᴐː2 t _ j iː3 h ᴐː3 _ l i4 p _ t a2 t _ pʰ ɤː3 ŋ _ s ɯː4 _ m aː _ m a2 j
เนื่องจากก่อนหน้านี้ก็สายเบรกขาดมาครั้งหนึ่งแล้ว,n ɯːa3 ŋ c aː2 k _ k ᴐː2 n n aː3 n iː4 _ k ᴐː3 _ s aː5 j _ br eː2 k _ kʰ aː2 t _ m aː _ kʰr a4 ŋ n ɯ2 ŋ _ l ɛː4 w
นักกายกรรมหญิงจากเปียงยางเกาหลีเหนือคว้าสองรางวัลเหรียญเงินประเภทตัวตลก,n a4 k k aː j j a4 k a m _ j i5 ŋ _ c aː2 k _ p iːa ŋ j aː ŋ _ k a w l iː5 n ɯːa5 _ kʰw aː4 _ s ᴐː5 ŋ _ r aː ŋ w a n _ r iːa5 n ŋ ɤ n _ pr a2 pʰ eː3 t _ t uːa t a2 l o2 k
ซึ่งเสื้อผ้าแต่ละแบรนด์ก็มีกลุ่มอายุลูกค้าที่ต่างกันไป,s ɯ3 ŋ _ s ɯːa3 pʰ aː3 _ t ɛː2 l a4 _ b a2 r ɛː n _ k ᴐː3 _ m iː _ kl u2 m _ ʔ aː j u4 _ l uː3 k kʰ aː4 _ tʰ iː3 _ t aː2 ŋ _ k a n _ p a j
หัวหน้ากิ่งอำเภอโคกสูงตรวจสอบพบว่านายนูแสงแก้วเกิดเมื่อวันที่สี่เดือนหกปีเถาะ,h uːa5 n aː3 _ k i2 ŋ ʔ a m pʰ ɤː _ kʰ oː3 k _ s uː5 ŋ _ tr uːa2 t s ᴐː2 p _ pʰ o4 p _ w aː3 _ n aː j _ n uː _ s ɛː5 ŋ _ k ɛː3 w _ k ɤː2 t _ m ɯːa3 _ w a n tʰ iː3 _ s iː2 _ d ɯːa n _ h o2 k _ p iː tʰ ᴐ2
วังน้ำเย็นยัวะนายกด่าแกนนำ,w a ŋ _ n aː4 m j e n _ j ua3 _ n aː j o4 k _ d aː2 _ k ɛː n n a m
ชูวิทย์กุ่ยร่วมฮั้ว,cʰ uː _ w i4 t _ k u2 j _ r uːa3 m _ h a4 w
จากปีที่แล้วอึ๊บกันแค่เจ็ดสิบครั้ง,c aː2 k _ p iː _ tʰ iː3 l ɛː4 w _ ʔ ɯ4 p _ k a n _ kʰ ɛː3 _ c e2 t _ s i2 p _ kʰr a4 ŋ
สำหรับนักการเมืองเจ้าเสน่ห์ฝ่ายหญิงปรากฏว่าตำแหน่งนี้ตกเป็นของน้องแบมจณิสตาลิ่วเฉลิมวงศ์ตามด้วย,s a5 m r a2 p _ n a4 k k aː n m ɯːa ŋ _ c aː3 w _ s a2 n eː2 _ f aː2 j _ j i5 ŋ _ pr aː k o2 t _ w aː3 _ t a m n ɛː2 ŋ _ n iː4 _ t o2 k p e n _ kʰ ᴐː5 ŋ _ n ᴐː4 ŋ _ b ɛː m _ c a2 n i2 t _ t aː _ l i3 w _ cʰ a2 l ɤː5 m _ w o ŋ _ t aː m _ d uːa3 j
สำหรับต่อนันทวัฒน์เข้าสู่วงการบันเทิงครั้งแรกด้วยงานโฆษณาผลิตภัณฑ์ทำความสะอาดผิวหน้าซีบรีซ,s a5 m r a2 p _ t ᴐː2 _ n a n tʰ a4 _ w a4 t _ kʰ a3 w s uː2 _ w o ŋ k aː n b a n tʰ ɤː ŋ _ kʰr a4 ŋ r ɛː3 k _ d uːa3 j _ ŋ aː n _ kʰ oː s a2 n aː _ pʰ a2 l i2 t t a2 pʰ a n _ tʰ a m kʰw aː m s a2 ʔ aː2 t _ pʰ i5 w n aː3 _ s iː _ br iː2 t
ขณะที่มีตัวประกันหลายคนแพ้แก๊สพิษถึงอาเจียนจนหมดสติ,kʰ a2 n a2 tʰ iː3 _ m iː _ t uːa pr a2 k a n _ l aː5 j _ kʰ o n _ pʰ ɛː4 _ k ɛː4 t _ pʰ i4 t _ tʰ ɯ5 ŋ _ ʔ aː c iːa n _ c o n _ m o2 t s a2 t i2
รวมทั้งที่น่าสังเกตอีกข้อคือหญิงชาวอิสราเอลที่รอดชีวิตจากวิกฤตการณ์ครั้งนี้มาได้,r uːa m tʰ a4 ŋ _ tʰ iː3 _ n aː3 s a5 ŋ k eː2 t _ ʔ iː2 k _ kʰ ᴐː3 _ kʰ ɯː _ j i5 ŋ _ cʰ aː w _ ʔ i2 s a2 r aː ʔ eː n _ tʰ iː3 _ r ᴐː3 t cʰ iː w i4 t _ c aː2 k _ w i4 kr i2 t t a2 k aː n _ kʰr a4 ŋ n iː4 _ m aː _ d aː3 j
ก่นด่าพันกว่าทีสอบตกอนุบาลผูบ้อเก๋าเจ้งและคำพูดอื่นที่ทำให้เสียอารมณ์ความรู้สึกมาตลอด,k o2 n d aː2 _ pʰ a n _ kw aː2 _ tʰ iː _ s ᴐː2 p t o2 k _ ʔ a2 n u4 b aː n _ pʰ uː5 _ b ᴐː3 _ k a5 w _ c eː3 ŋ _ l ɛ4 _ kʰ a m pʰ uː3 t _ ʔ ɯː2 n _ tʰ iː3 _ tʰ a m h a3 j _ s iːa5 ʔ aː r o m _ kʰw aː m r uː4 s ɯ2 k _ m aː _ t a2 l ᴐː2 t
ม้าเองพื้นฐานจะมีความรักต่อป๊าบ้างหรือไม่,m aː4 _ ʔ eː ŋ _ pʰ ɯː4 n tʰ aː5 n _ c a2 _ m iː _ kʰw aː m r a4 k _ t ᴐː2 _ p aː4 _ b aː3 ŋ _ r ɯː5 m a3 j
ใกล้กันมีห่อก๋วยเตี๋ยวผัดไทยตกอยู่หนึ่งห่อ,kl a3 j _ k a n _ m iː _ h ᴐː2 _ k uːa5 j t iːa5 w pʰ a2 t tʰ a j _ t o2 k _ j uː2 _ n ɯ2 ŋ _ h ᴐː2
เนื่องจากเราทำลายธรรมชาติโดยเฉพาะแหล่งต้นน้ำทำให้ดินไหลลงแม่น้ำและน้ำล้นเอ่อตลอดเวลาไม่สามารถควบคุมได้,n ɯːa3 ŋ c aː2 k _ r a w _ tʰ a m l aː j _ tʰ a m m a4 cʰ aː3 t _ d oː j cʰ a2 pʰ ᴐ4 _ l ɛː2 ŋ _ t o3 n n aː4 m _ tʰ a m h a3 j _ d i n _ l a5 j _ l o ŋ _ m ɛː3 n aː4 m _ l ɛ4 _ n aː4 m _ l o4 n _ ʔ ɤː2 _ t a2 l ᴐː2 t _ w eː l aː _ m a3 j _ s aː5 m aː3 t _ kʰ uːa3 p kʰ u m _ d aː3 j
คือกรมอุตุนิยมวิทยาบ้านพร้าวและตำบลเชียงรากใหญ่,kʰ ɯː _ kr o m ʔ u2 t u2 n i4 j o m w i4 t tʰ a4 j aː _ b aː3 n _ pʰr aː4 w _ l ɛ4 _ t a m b o n _ cʰ iːa ŋ _ r aː3 k _ j a2 j
กระดาษปรู๊ฟเพิ่มขึ้นตันละหนึ่งจุดแปดเจ็ดบาท,kr a2 d aː2 t _ pr uː4 p _ pʰ ɤː3 m _ kʰ ɯ3 n _ t a n _ l a4 _ n ɯ2 ŋ _ c u2 t _ p ɛː2 t _ c e2 t _ b aː2 t
น้ำตาท่วมรับศพห้าเหยื่อคลังแสง,n aː4 m t aː _ tʰ uːa3 m _ r a4 p _ s o2 p _ h aː3 _ j ɯːa2 _ kʰl a ŋ s ɛː5 ŋ
อย่างไรก็ตามนายอารีเฟลสเชอร์โฆษกทำเนียบขาวกล่าวว่ายินดีรับความช่วยเหลือกลุ่มพันธมิตรฝ่ายเหนือ,j aː2 ŋ r a j k ᴐː3 t aː m _ n aː j _ ʔ aː r iː _ fl eː3 t _ cʰ ɤː _ kʰ oː s o2 k _ tʰ a m n iːa3 p _ kʰ aː5 w _ kl aː2 w _ w aː3 _ j i n d iː _ r a4 p _ kʰw aː m _ cʰ uːa3 j l ɯːa5 _ kl u2 m _ pʰ a n tʰ a4 m i4 t _ f aː2 j _ n ɯːa5
เนื่องจากนักวิเคราะห์ส่วนใหญ่วิตกกับปัญหาหนี้เสียของระบบสถาบันธนาคารเช่นเดียวกับดัชนีสเตรทไทม์ของสิงคโปร์,n ɯːa3 ŋ c aː2 k _ n a4 k w i4 kʰr ᴐ4 _ s uːa2 n j a2 j _ w i4 t o2 k _ k a2 p _ p a n h aː5 _ n iː3 s iːa5 _ kʰ ᴐː5 ŋ _ r a4 b o2 p _ s a2 tʰ aː5 b a n _ tʰ a4 n aː kʰ aː n _ cʰ eː3 n d iːa w k a2 p _ d a2 t cʰ a4 n iː _ s a2 tr eː2 t _ tʰ a j _ kʰ ᴐː5 ŋ _ s i5 ŋ kʰ a4 p oː
หากหัวรถจักรวิ่งลงเหวทั้งขบวนก็ต้องลงเหว,h aː2 k _ h uːa5 r o4 t c a2 k _ w i3 ŋ _ l o ŋ _ h eː5 w _ tʰ a4 ŋ _ kʰ a2 b uːa n _ k ᴐː3 _ t ᴐː3 ŋ _ l o ŋ _ h eː5 w
วายร้ายเตรียมจะรุมทำร้ายซ้ำแต่เหยื่อยกมือไหว้ขอชีวิต,w aː j r aː4 j _ tr iːa m _ c a2 _ r u m _ tʰ a m r aː4 j _ s a4 m _ t ɛː2 _ j ɯːa2 _ j o4 k m ɯː _ w a3 j _ kʰ ᴐː5 _ cʰ iː w i4 t
จะเข้าห้องน้ำทีต้องยกโขยงตามกันไปหลายคนเพราะกลัวผีหลอก,c a2 _ kʰ a3 w _ h ᴐː3 ŋ n aː4 m _ tʰ iː _ t ᴐː3 ŋ _ j o4 k kʰ a2 j oː5 ŋ _ t aː m _ k a n _ p a j _ l aː5 j _ kʰ o n _ pʰr ᴐ4 _ kl uːa _ pʰ iː5 l ᴐː2 k
และควบคุมโรคขาดสารไอโอดีนผู้คิดค้นการใช้กราฟโภชนาการหญิงมีครรภ์,l ɛ4 _ kʰ uːa3 p kʰ u m _ r oː3 k _ kʰ aː2 t _ s aː5 n _ ʔ a j ʔ oː d iː n _ pʰ uː3 _ kʰ i4 t kʰ o4 n _ k aː n _ cʰ a4 j _ kr aː4 p _ pʰ oː3 t n aː k aː n _ j i5 ŋ _ m iː _ kʰ a n
โดยเฉพาะมุขเด็ดคือการแสยะยิ้มเห็นฟันหน้าแล้วจับริมฝีปากบนให้ปิดลงมา,d oː j cʰ a2 pʰ ᴐ4 _ m u4 k _ d e2 t _ kʰ ɯː _ k aː n _ s a2 j ɛ2 j i4 m _ h e5 n _ f a n n aː3 _ l ɛː4 w _ c a2 p _ r i m f iː5 p aː2 k _ b o n _ h a3 j _ p i2 t _ l o ŋ _ m aː
ตระการตาพฤกษาไทย,tr a2 k aː n t aː _ pʰr ɯ4 k s aː5 _ tʰ a j
